entity,entity_type,occurrence
T2DM,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:49
COVID-19,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:49
sitagliptin,DRUG,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:49
DPP4,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
DPP4i,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
diabetic,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
DPP4i,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
DPP4,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
DPP4,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
sitagliptin,DRUG,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
DPP4,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
mice,ORGANISM,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
immune responses,PATHWAY,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
Sitagliptin,DRUG,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
vildagliptin,DRUG,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
saxagliptin,DRUG,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
innate immune,PATHWAY,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
Toll-like receptor,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
TLR,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
secretion,PATHWAY,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
co-stimulation,PATHWAY,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
T cell,CELL_TYPE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
proliferation,PATHWAY,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
migration,PATHWAY,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
human cells,CELL_TYPE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
mice,ORGANISM,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:50
DPP4i,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
respiratory infections,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
urinary tract,ORGAN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
nasopharyngitis infection,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
sitagliptin,DRUG,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
T2DM,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
infection,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
respiratory tract infections,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
respiratory tract,ORGAN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
DPP4i,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
T2DM,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
leucopenia,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
angioedema,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
cough,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
asthma,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
Baraniuk,ORGANISM,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
DPP4i,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
COVID-19,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
DPP4i,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
gliptins,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
DPP4i,PROTEIN,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
infection,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
T cell,CELL_TYPE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
immune homeostasis,PATHWAY,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
T2DM,DISEASE,184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51
MERS-CoV infection,DISEASE,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:52
MERS-CoV,ORGANISM,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:52
VERO cells,CELL_TYPE,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:52
SARS-CoV-2,ORGANISM,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:52
DPP4,PROTEIN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:52
decoy factor,PROTEIN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:52
virus,ORGANISM,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:52
endogenous DPP4,PROTEIN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:52
COVID-19,DISEASE,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:52
virus,ORGANISM,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
immune responses,PATHWAY,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
COVID-19,DISEASE,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
vasculature,ORGAN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
ADA,PROTEIN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
human,ORGANISM,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
human dendritic cells/macrophages,CELL_TYPE,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
proliferation,PATHWAY,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
T-cells,CELL_TYPE,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
anti-CCR5 antibody,PROTEIN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
IL-6,PROTEIN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
plasma,ORGAN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
viral,ORGANISM,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
COVID-19,DISEASE,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
CCL5/RANTES,PROTEIN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
CCR5,PROTEIN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
immune response,PATHWAY,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
cytokine,PROTEIN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:53
diabetic,DISEASE,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:54
decoy factor,PROTEIN,184360:Sdpp4 As Soluble Decoy Factor ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:54
plasma DPP4,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
plasma,ORGAN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
mice,ORGANISM,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
anti-DPP4,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
Anti-DPP4,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
vaccine,DRUG,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
DPP4-expressing cells,CELL_TYPE,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
gliptin,DRUG,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
GLP-1,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
plasma,ORGAN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
mice,ORGANISM,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
line,DRUG,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
humanized IgG1 monoclonal antibody,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
YS110,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
CD26,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
proliferation,PATHWAY,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
cytokine,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
human,ORGANISM,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
human CD26-positive lymphocytes,CELL_TYPE,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
YS110,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
MERS-CoV infection,DISEASE,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
MERS-CoV,ORGANISM,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
anti-DPP4 antibodies,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
plasma,ORGAN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
DPP4,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
virus entry,PATHWAY,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
virus,ORGANISM,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
anti-DPP4 antibodies,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:55
TFPI,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:56
DPP4,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:56
TFPI,PROTEIN,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:56
COVID-19,DISEASE,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:56
cancer,DISEASE,184360:Anti-Dpp4 Vaccine ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:56
DPP4,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
RAAS,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
Ang II,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
DPP4,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
DPP4,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
renal,ORGAN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
rats,ORGANISM,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
sitagliptin,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
ACE2,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
AT1 receptor,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
Ang II,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
DPP4i,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
CV disease,DISEASE,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57
ACE2,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
DPP4,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
endopeptidases,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
ACEi,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
ACEi,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
DPP4i,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
DPP4i,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
COVID-19,DISEASE,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
DPP4i,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
ACEi,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
blood,ORGAN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
ACEi,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
ACEi,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
DPP4i,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
DPP4i,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
angioedema,DISEASE,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
Angioedema,DISEASE,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
neck,ORGAN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
proteases ACE2,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
DPP4,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
vascular,ORGAN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
ACEi,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
gliptin-associated angioedema,DISEASE,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58
ARB,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:59
DPP4i,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:59
DPP4i,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:59
hypertension,DISEASE,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:59
renal,ORGAN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:59
T2DM,DISEASE,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:59
linagliptin,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:59
telmisartan,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:59
rats,ORGANISM,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:59
SARS-CoV-2,ORGANISM,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
virus entry,PATHWAY,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
virus,ORGANISM,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
ACEi,DRUG,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
DPP4i,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
virus,ORGANISM,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
decoy factors,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
rhACE2,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
human,ORGANISM,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
human ACE,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
DPP4,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
milk-derived heptapeptide,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
ACE,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
DPP4,PROTEIN,184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60
SARS-CoV-2,ORGANISM,184360:Conclusion:61
T2DM,DISEASE,184360:Conclusion:62
endothelial cell,CELL_TYPE,184360:Conclusion:62
lung,ORGAN,184360:Conclusion:62
COVID-19,DISEASE,184360:Conclusion:62
ACEi,DRUG,184360:Conclusion:62
COVID-19,DISEASE,184360:Conclusion:62
cardiovascular complications,DISEASE,184360:Conclusion:62
COVID-19,DISEASE,184360:Conclusion:62
ACE2,PROTEIN,184360:Conclusion:62
SARS-CoV-2 receptor,PROTEIN,184360:Conclusion:62
ACE2,PROTEIN,184360:Conclusion:62
hyperinflammation,DISEASE,184360:Conclusion:62
decoy receptor,PROTEIN,184360:Conclusion:62
DPP4,PROTEIN,184360:Conclusion:63
SARS-CoV-2 infection,DISEASE,184360:Conclusion:63
SARS-CoV-2,ORGANISM,184360:Conclusion:63
decoy receptor,PROTEIN,184360:Conclusion:63
obesity,DISEASE,184360:Conclusion:63
T2DM,DISEASE,184360:Conclusion:63
COVID-19,DISEASE,184360:Conclusion:63
DPP4i,PROTEIN,184360:Conclusion:63
virus entry,PATHWAY,184360:Conclusion:63
virus,ORGANISM,184360:Conclusion:63
sitagliptin,DRUG,184360:Conclusion:63
MERS,DISEASE,184360:Conclusion:63
DPP4,PROTEIN,184360:Conclusion:63
co-receptor,PROTEIN,184360:Conclusion:63
gliptins,PROTEIN,184360:Conclusion:63
COVID-19,DISEASE,184360:Conclusion:63
Anti-DPP4,PROTEIN,184360:Conclusion:63
vaccine,DRUG,184360:Conclusion:63
mice,ORGANISM,184360:Conclusion:63
glucose homeostasis,PATHWAY,184360:Conclusion:63
glucose,CHEMICAL,184360:Conclusion:63
SARS-CoV-2 virus,ORGANISM,184360:Conclusion:64
IV,PROTEIN,184360:Author Contributions:65
CP,PROTEIN,184360:Author Contributions:65
OL,PROTEIN,184360:Author Contributions:65
CS-F,PROTEIN,184360:Author Contributions:65
IV,PROTEIN,184360:Funding:66
JE,DISEASE,184360:Funding:66
KomIT-Center,PROTEIN,184360:Funding:66
Diabetes,DISEASE,184360:Funding:66
EFRE-NRW,PROTEIN,184360:Funding:66
CP,PROTEIN,184360:Funding:66
CS-F,PROTEIN,184360:Funding:66
I+D,PROTEIN,184360:Funding:66
ACEi,DRUG,184360:Caption:68
ARBS,PROTEIN,184360:Caption:68
gliptins,PROTEIN,184360:Caption:69
sDPP4,PROTEIN,184360:Caption:69
DPP4,PROTEIN,184360:Caption:69
vaccine,DRUG,184360:Caption:69
ACE2,PROTEIN,184360:Caption:70
DPP4,PROTEIN,184360:Caption:70
COVID-19,DISEASE,184360:Caption:70
COVID-19,DISEASE,184360:Caption:70
obesity,DISEASE,184360:Caption:71
T2DM,DISEASE,184360:Caption:71
bronchoconstriction,DISEASE,184360:Caption:71
lung inflammation,DISEASE,184360:Caption:71
lung,ORGAN,184360:Caption:71
heart failure,DISEASE,184360:Caption:71
heart,ORGAN,184360:Caption:71
endothelial dysfunction,DISEASE,184360:Caption:71
atherosclerosis,DISEASE,184360:Caption:71
immune dysregulation,PATHWAY,184360:Caption:71
ACE2,PROTEIN,184360:Caption:71
SARS-CoV-2,ORGANISM,184360:Caption:71
DPP4,PROTEIN,184360:Caption:71
ACE2,PROTEIN,184360:Caption:71
infection,DISEASE,184360:Caption:71
SARS-CoV-2,ORGANISM,184360:Caption:71
COVID-19,DISEASE,184360:Caption:71
pulmonar complications,DISEASE,184360:Caption:71
pulmonar,ORGAN,184360:Caption:71
ALI,DISEASE,184360:Caption:71
ARDS,DISEASE,184360:Caption:71
CV,DISEASE,184360:Caption:71
heart failure,DISEASE,184360:Caption:71
heart,ORGAN,184360:Caption:71
arrhythmia,DISEASE,184360:Caption:71
myocarditis,DISEASE,184360:Caption:71
endothelitis,DISEASE,184360:Caption:71
oedema,DISEASE,184360:Caption:71
coagulopathy,DISEASE,184360:Caption:71
COVID‐19,ORGAN,197804:Title:0
diabetes,DISEASE,197804:Title:0
COVID‐19,PROTEIN,197804:Abstract:1
infectious disease,DISEASE,197804:Abstract:1
Diabetes,DISEASE,197804:Abstract:1
COVID‐19,PROTEIN,197804:Abstract:1
children,ORGANISM,197804:Abstract:1
diabetes,DISEASE,197804:Abstract:1
COVID‐19,ORGAN,197804:Abstract:1
COVID‐19,ORGAN,197804:Abstract:1
diabetes,DISEASE,197804:Abstract:1
COVID‐19,ORGAN,197804:Abstract:1
new‐onset diabetes,DISEASE,197804:Abstract:1
DKA,DISEASE,197804:Abstract:1
COVID‐19,PROTEIN,197804:Abstract:1
diabetes,DISEASE,197804:Abstract:1
COVID‐19,PROTEIN,197804:Abstract:1
COVID‐19,ORGAN,197804:Abstract:1
HCP,DISEASE,197804:Abstract:1
telemedicine,ORGAN,197804:Abstract:1
DKA,DISEASE,197804:Abstract:1
COVID‐19,ORGAN,197804:Abstract:1
DKA,DISEASE,197804:Abstract:1
Coronaviruses,ORGANISM,197804:Introduction:2
viruses,ORGANISM,197804:Introduction:2
disorders,DISEASE,197804:Introduction:2
diseases,DISEASE,197804:Introduction:2
coronavirus,ORGANISM,197804:Introduction:2
acute respiratory syndrome coronavirus 2 (SARS-CoV-2),DISEASE,197804:Introduction:2
SARS-CoV-2,ORGANISM,197804:Introduction:2
COronaVIrus,ORGANISM,197804:Introduction:2
COronaVIrus Diasease,PROTEIN,197804:Introduction:2
COVID-19,DISEASE,197804:Introduction:2
fever,DISEASE,197804:Introduction:2
cough,DISEASE,197804:Introduction:2
shortness,DISEASE,197804:Introduction:2
muscle pain,DISEASE,197804:Introduction:2
muscle,ORGAN,197804:Introduction:2
COVID-19,DISEASE,197804:Introduction:2
acute respiratory distress syndrome,DISEASE,197804:Introduction:2
COVID-19,DISEASE,197804:Introduction:3
diabetes,DISEASE,197804:Introduction:3
cardiovascular disease,DISEASE,197804:Introduction:3
cardiovascular,ORGAN,197804:Introduction:3
hypertension,DISEASE,197804:Introduction:3
diabetes,DISEASE,197804:Introduction:3
death,DISEASE,197804:Introduction:3
COVID-19,DISEASE,197804:Introduction:3
diabetes,DISEASE,197804:Introduction:4
COVID-19,DISEASE,197804:Introduction:4
diabetes,DISEASE,197804:Introduction:4
chronic lung disease,DISEASE,197804:Introduction:4
lung,ORGAN,197804:Introduction:4
cardiovascular disease,DISEASE,197804:Introduction:4
cardiovascular,ORGAN,197804:Introduction:4
COVID-19,DISEASE,197804:Introduction:6
diabetes,DISEASE,197804:Introduction:6
COVID-19,DISEASE,197804:Introduction:6
diabetes,DISEASE,197804:Introduction:6
HCP,DISEASE,197804:Introduction:6
children,ORGANISM,197804:Introduction:6
diabetes,DISEASE,197804:Introduction:6
HCP,DISEASE,197804:Introduction:6
diabetes,DISEASE,197804:Introduction:6
COVID-19,DISEASE,197804:Introduction:6
children,ORGANISM,197804:The Survey:11
diabetes,DISEASE,197804:The Survey:11
diabetes,DISEASE,197804:The Survey:11
drugs,DRUG,197804:The Survey:11
blood,ORGAN,197804:The Survey:11
glucose,CHEMICAL,197804:The Survey:11
SARS-CoV-2 virus,ORGANISM,197804:The Survey:11
SARS-CoV-2,PROTEIN,197804:The Survey:11
COVID-19,DISEASE,197804:Statistical Analysis:12
diabetes,DISEASE,197804:Responders' Professional And Practice Profiles:13
